filename,speaker,tags,transcription,
BACKGROUND%20CHECKS%20FOR%20DOUG.mp3,tj moe,"tj moe, child, molest",im afraid if doug comes to join Im may have to  do backround checks because the child molestors will come with him,
BACKING%20MY%20ASS%20INTO%20YOU.mp3,tim,"back, ass",backing my ass into you,
BAD%20AND%20BUTT%20UGLY.wav,doug,"bad, ugly","were very bad, and butt ugly",
BAD%20BATCH.wav,doug,"bad, batch",you got a bad batch.  Tim: I got a bad batch,
BAD%20FOR%20COLON.mp3,"cat, doug",colon,"cat: I think its bad for your colon. Doug: I suspect it is, things get stuffed up in there",
BADASS%20AT%20A%20BBQ.mp3,unknown,bbq,I wanna be the baddest ass at the bbq,
BALLOON%20PARTY.wav,joe strauss,"party, balloon",lets have a balloon party,
BALLS%20DIFFERENT.wav,doug,"balls, different",maybe the balls are a little bit different?!,
BANG%20DOUG%20ON%20SIDE.mp3,tim,"bang, sidepiece ",you can still bang doug on the side,
BANG%20WEATHER%20GUY.mp3,tim,"banged, little rock, weather guy",I banged the weather guy down in little rock,
BANG%20YOU%20RIGHT%20NOW-IGGY.mp3,iggy,"iggy, bang",I would bang you right now if you let me,
BANGING%20EVERYTHING%20.mp3,jay jr,"banging, jennings",bangin everything left and right,
BAREBACK.mp3,tim,bareback,depends on if you go bareback,
BASEBALL%20INSIDERS.mp3,cat,"baseball insiders, sfw",were pure baseball insiders,
BAT%20WING%20SEASON.wav,tim,batwing season,batwing season is upon us,
BAT%20WING.wav,tim,batwing,can you see my batwing today?,
BATH%20ROBE.wav,jeff abeln,"bathrobe, p diddy",I went with like a white pdiddy bathrobe,
BEAKER.wav,willy,"beaker, kansas",beaker!,
BEARCLAWS.wav,charlie,"bearclaws, charlie","I used to eat bearclaws, two at a time",
BED%20N%20BREAKFAST.mp3,cat,bed n breakfast,bed and breakfast?  Thats the way.no,
BEGGING%20FOR%20FOOD.mp3,charlie,"suck, food, begging","ugh these guys suck, begging for food already",
BEING%20A%20GOOD%20BOTTOM.mp3,tim,"bottom, bottoming","its like being a bottom, a really good bottom, youre used to is",
BEING%20AROUSED.mp3,charlie,"guy, aroused",guy being aroused,
BEING%20WITH%20A%20GENTLEMAN.mp3,unknown man,gentleman,"well it started as that, and it turned into just being with a gentleman",
BELLS.wav,sound effect,"winner, email of day winner",*email of day winner bells*,
BERMAN.mp3,charlie,chris berman,*berman like noise*,
BEST%20IN%20THE%20WORLD%20AT%20WHAT%20I%20DO-LARRY.mp3,larry,"best, larry, lawrence, nickel","yea, Im the best in the world at what I do",
BEST%20SEX-TIMBERFAKE.mp3,timberfake,"sex, timberfake, playbaby",thats the best sex that Ive ever had though,
BEST%20THING%20YOU'VE%20EVER%20SAID.mp3,charlie,"best thing, charlie, agreement, sfw",that would be the best thing youve ever said,
BETTER%20THAN%20CHICAGO.mp3,cat,"chicago, sfw",were better than chicago,
BETTER%20THAN%20DOUG.mp3,caller adam,"doug, savard, kmov","doug youre nothing but a talking head, savards better than you, shut up",
BFIB%20CHECK%20IN.wav,joe strauss,"bfib, best fans, strauss",the bfib check in,
BFIB%20WAVE.mp3,unknown man,"bfib, wave","the waves horrible, the bfibs love it!",
BIG%20BALLS.wav,willy,"balls, willy","oh, theyre big balls",
BIG%20BIG%20PROBLEM.mp3,doug,big problem,"they have a big, big problem with that one",
BIG%20BOOBS-ADAM.mp3,caller adam,"boobs, caller adam, big boobs",she has real big boobs,
BIG%20BOYS=GRETZKY.mp3,wayne gretzky,"big boys, wayne gretzky",theres some big boys out there,
BIG%20ISSUES.mp3,unknown man,"big issues, sit in corner",doug just go sit in a corner and pretend these arent big issues,
BIG%20LOIN.mp3,plowboy,"big loin, plowboy, loin",it was kind of a big loin,
BIG%20MAN.wav,charlie,"big man, call in, sfw",why dont you call in big man,
BIG%20MAN%20(DANNY%20MAC).wav,danny mac,"big man, danny mac, dan",do it yourself big man!,
BIG%20ONE.wav,plowboy,big one,its a big one,
BIG%20SAUSAGE.mp3,alpena,"big sausage, alpena",do you wanna get a big sausage tonight?,
BIG%20TWIG.wav,darren pang,"twig, pang, hockey",he got the big large twig on that one!,
BIRTHDAY%20DRUNK.mp3,larry,"drunk, larry, birthday","cuz its my birthday today, I might get drunk",
BISCUIT.wav,Rich from Maryland Heights,"rich, maryland heights, biscuit, delightful, mcdonalds","when you get a nice fresh biscuit, its delightful",
BISEXUAL%20FRIENDS.mp3,katie kay,"bisexual, katie kay",my best friend in college is bisexual,
BIT%20OF%20A%20FUSS.wav,willy,"fuss, morning","youre in a bit of a fuss this morning, arent ya",
BITCHES%20DIG%20ME.mp3,tim,"dig, bitches",man bitches dig me,
BLACK%20GENTLEMAN.mp3,doug,"black gentleman, manchild, toe ring",shes looking for a black gentleman,
BLACK%20MAN.wav,tim,"black man, manchild, toe ring",have you ever been with a black man?,
BLACK%20QUARTERBACKS.mp3,jay jr,"jay, african american, quarterback","if youre drunk at 2 in the morning and wanna be with an african american quarterback, heres my number",
BLACKHAWKS=LESBIANISM.mp3,tim,"lesbian, lesbianism, blackhawks",the blackhawks provide the most likely scenario for lesbianism,
BLONDTH.wav,tim,blond,blondth,
BLOW%20DOUGS%20TOP-LARRY.mp3,larry,"larry, top",I was trying to get doug to blow his top,
BLUES%20DID%20IT.mp3,tim,blues,"well doug, the blues did it",
BLUFFING.mp3,unknown man,bluffing,you think Im bluffing?,
BO%20HART.mp3,tim,"bo hart, tattoo, ass cheek",I have a bo hart on my left asscheek,
BO%20HART.wav,doug,bo hart,bo hart was a heckuva player,
BOB%20HOPE%20OF%20SPORTS%20TALK.mp3,tim,"bob hope, radio",hes the bob hope of local sports talk,
BOBBY%20VESTAL%20SUCKS.mp3,timberfake,"bobby vestal, bobby bestal, timberfake, sucks",bobby vestal that guy sucks,
BOOBAGE.mp3,unknown woman,boobs,a lot of boobage,
BOOBS%20GALORE.mp3,jay jr,boobs ,shes got boobs galore,
BOOM-SHAKA-LAKA.wav,joe roderick,boom shaka laka,"boom shaka laka, I got a hand, thatll rock your cradle",
BOOZED%20UP.mp3,tim,"boozed, booze, drunk, party",just get really boozed up,
BOSSY%20CHATTERBOX.wav,cat,"bossy, chatterbox, talkative",youre a bossy chatterbox,
BOTH%20OF%20THEM.mp3,tim,"both, bofem",bof of em,
BOUNTIFUL%20LOIN.mp3,cat,"loin, bountiful, cat",you happen to have a bountiful loin,
BOUT%202%20GET%20REAL.wav,doug,"real, real in here",its bout to get real in here,
BOW%20TIE.mp3,tim,bowtie,why the bowtie?,
BOY%20CANAL.mp3,tim,boy canal,keep that boy canal nice,
BOY%20DUNGEON-LARRY.mp3,larry,"boy dungeon, larry",your boy dungeon ,
BOY%20PIG.wav,cat,"boy pig, cat",I like when you call me a boy pig,
BOY%20WHORE.mp3,tim,boy whore,"yea, Im a boy whore",
BOYCOTT%20KMOV.mp3,caller adam,"kmov, caller adam, local news","boycott KMOV, its a piece of crap station",
BREAKING%20IT%20DOWN.mp3,caller ellen,"breaking it down, ellen",well you guys just keep breaking it down,
BREWERS%20SERIES.mp3,charlie,"brewers, charlie, baseball series, cardinals, sfw","Ill tell ya what, Im excited for this brewers series",
BROAD%20BANG%20ME.mp3,tim,"broad, bang",just another broad who wants to bang me,
BROKER%20OUT%20TIME%20BITCH.mp3,tim,"broker, time, am sports talk radio",I broker out the time bitch,
BRUCE%20PEARL.wav,rondo,"bruce pearl, tennesee, rondo",free bruce pearl,
BUFFERING.wav,plowboy,"buffering, plowboy",oh its buffering so bad right now,
BUILT%20A%20BRIDGE%20AND%20GOT%20OVER%20IT.mp3,larry,"bridge, get over it, larry","I built a bridge, and got over it",
BULL%20AND%20APACHE%20SHARE.mp3,bull,"bull, apache, mistress amy, share",mistriss amy is shared by me and the apache,
BULL%20IS%20NOT%20A%20WHORE.mp3,bull,"bull, whore",im not the big whore that everybody makes me out to be,
BULL%20NEVER%20GIVES%20UP.mp3,bull,"bull, give up",a bull never gives up,
BULL%20POTENTIAL.mp3,bull,"bull, potential",he has the potential to be a great bull,
BULLS%20ARE%20DOMS.mp3,bull,"bull, sub, dom, bdsm","bulls arent subs, were doms",
BUNCH%20OF%20IDIOTS.wav,unknown man,idiots,buncha idiots out here,
BURLEY%20GENTLEMAN.mp3,doug,"gentleman, bear, burley",would you consider yourself a burley gentleman?,
BURN%20IN%20HELL.wav,willy,"willy, burn in hell","youre going to burn in hell, pal",
BURN.wav,tim,burn,burn!,
BUSINESS%20WILL%20TREBBLE.wav,cat,"treble, business, jhe",their business would treble,
BUT%20C'MON.wav,unknown man,cmon,"but, uh, cmon",
BUSINESSMEN%20SPECIALS.mp3,doug,business mans special,business mans special,
BUTTPLUG-R2D2.mp3,tim,"r2d2, buttplug",I have an r2d2 that I use as a buttplug,
Bam%20Gerbil.mp3,steve harvey,"gerbil, steve harvey","bam, gerbil!",
C'MON%20CAT.wav,rudy,rudy,cmon cat,
C'MON!!.wav,charlie,"cmon, charlie, sfw",cmon!,
CAL%20MAY%20(STAN).mp3,calmay,"stan musial, sick, matt carpenter, lackey, calmay","matt did you know in the top of the 4th, don mattingly said that it makes him think that stan musial is in that body and running around here",
CAL%20MAY%20LAUGH.mp3,calmay,"laugh, calmay",hahaha,
CAL%20MAY-BALL%20IN%20HOOP.mp3,calmay,"hoops, calmay, basketball",coach what goes through your mind when you see the ball actually go through the hoop there,
CAL%20MAY-WISCONSIN%20PLAYER.mp3,calmay,"calmay, wisconsin, coach",coach how cool was it that it was a wisconson player that sank the winning shot?  ,
CALL%20IN%20(CAT).mp3,cat,"call in big man, call-in",call in big man!,
CALL%20IN%20(MIX).wav,doug,call in big man,doug: call in    -    danny mac: big man!,
CALL%20IN%20BEFORE%20BED.mp3,larry,"call in, bed, larry",Ill call in before I go to bed tonight,
CALL%20IN%20DUDE.wav,plowboy,"call in, dude, plowboy","why dont you call in, dude",
CALL%20IN%20PRINCESS.wav,willy,"princess, call in, willy",why dont you call in princess,
CALL%20YOU%20DADDY.mp3,unknown woman,daddy,I like calling you daddy!,
CALLER%20ADAM-FAN%20PAGE.mp3,caller adam,"fan page, finpin, facebook",tim did you see what happened on the fan page last night?,
CALLER%20JORDAN%20A%20SMOKE%20SHOW.mp3,tim,"caller jordan, smokeshow","caller jordan is a smokeshow, doug needs to get with that",
CAN%20I%20BE%20SUSPENDED%20.mp3,gabe,"suspended, gabe, suspension",can I be suspended for like 20 mins?,
CAN%20I%20CONTINUE-LARRY.mp3,larry,"continue, larry, interrupt ",can I continue doug?,
CANNOT%20VALIDATE.mp3,tim,validate,"we wanna make it clear, we cannot validate",
CANT%20FIGHT%20KARMA.wav,Rich from Maryland Heights,"rich, maryland heights, karma","you cant fight karma, karma will always win",
CARBON%20FOOTPRINT.mp3,charlie,"footprint, carbon, polution",reduce your carbon footprint,
CARDINALS%20LOST-MIKE%20LEE.mp3,mike lee,"cardinals lost, mike lee","cardinals lost again, huh?",
CARDINALS%20OFFENSE-SLAP%20DICK%20AROUND.mp3,tim,"slap dick, cardinals offense",the offense continues to just slap dick around,
CARDINALS%20STINK.mp3,mike lee,"mike lee, cardinals stink",cardinals stink!,
CARDINALS%20WON-MIKE%20LEE.mp3,mike lee,"mike lee, cardinals won",cardinals won huh?,
CARDS%20ARE%20COMING.mp3,larry,"larry, cardinals are coming, tra la","by the way, the cardinals are coming, tra la tra la",
CARDS%20FANS%20BITCHY.mp3,doug,"cardinal fans, bfib, bitchy, racist",cardinal fans are bitchy and racist,
CARE.wav,frank,"do you care, frank",do you care?,
CARLOS%20MARTINEX%20TATS-TIMBERFAKE.mp3,timberfake,"carlos martinez, timberfake, tattoo, momma","I get tattoos of carlos martinez, on my mama",
CARLOS%20MARTINEZ.mp3,tim,carlos martinez,carlos martinez! Another great start!,
CARRY%20ON.wav,unknown man,carry on,carry on,
CASE%20CLOSED.wav,plowboy,"plowboy, case closed",case closed,
CASSIDEY.wav,cassidey,"cassidey, porn, stag",yeah!,
CAT%20AND%20DOUG%20SEX-FRANK.mp3,frank,frank,"jim the cat hayes, having action with doug vaughn",
CAT%20BULLCRAP.mp3,cat,"bullcrap, cat","boy, Im tired of hearing your bullcrap",
CAT%20FANS-STRAUSS.mp3,tim and strauss,"cats fans, strauss",tim: and what are the cats fans?  Strauss: delusional for sure,
CAT%20IS%20ELITE.mp3,charlie,"charlie, elite, status, cat",the cat though has really reached elite level status,
CAT%20SOUND.wav,tim,"cat noise, purr",*kitten purr**,
CAT%20WEARS%20PRADA.wav,tim,"cat, prada, clothes",the cat wears prada!,
CAT'S%20POEM.mp3,cat,"poem, cat, freedom","birds, tree life, fly fly fly, picking pecking poking, freedom",
CATS%20A%20COOL%20CAT-TIMBERFAKE.mp3,timberfake,"cat, cool, timberfake",the cats a cool cat!,
CATS%20FAT%20ALBERT%20IMPRESSION.mp3,cat,"fat albert, cat",**fat albert sounds**,
CAUGHT%20ME%20WET.mp3,unknown man,wet,ya caught me wet,
CAULKS.wav,cat,"cat, caulks, white, whites",you dont want to hang out with caulks!,
CBS%20SPORTS%20GAYER%20THAN%20YOU.mp3,charlie,"cbs 920, gay, gayer","cbs sports 920, we are gayer than you",
CELEBRITY.wav,willy,"celebrity, willy",I am like a celebrity in that neighborhood,
CELLULITE.wav,tim,"cellulite, fat",cellulite on cellulite brother,
CENTRAL%20DIV%20=%20BANGED.mp3,tim,"central division, banged",so if youre in the central division you just get banged,
CHAMBERS.wav,tretter,"chambers, tretter",chambers you my boy!,
CHAMP.mp3,timberfake,"champ, timberfake, strap, boxing",im the champ,
CHAMPION.wav,willy,"champion, willy",im a champion brother,
CHAPPS%20GO%20DIE.mp3,charlie,"charlie, chapps, die",chapps go die,
CHARITY.wav,cat,"wallet, shut up, cat",open your wallet and close your yap,
CHARLIE%20AS%20DOUG.mp3,charlie,"news, sportscast, sports final, kmov, ktvi, fox","good evening, sports fans, doug vaughn here with your sportscast.  Our top story tonight, Jon Jay will be back tomorrow, heres him getting a hit in 2012",
CHARLIE%20IDOKI.mp3,charlie,"koko idoki, charlie, golf",okie dokie kokie idoky!,
CHARLIE%20LAUGH%202.mp3,charlie,"laugh, charlie, sfw",ha ha,
CHARLIE%20LAUGH.wav,charlie,"laugh, charlie",ha ha ha,
CHARLIE%20NOT%20A%20CARDINALS%20FAN.mp3,charlie,"cardinals fan, charlie, sfw",im not neccesarily a big st. louis cardinals fan,
CHARLIE'S%20SPANISH.mp3,charlie,"spanish, bano, charlie",puedo ir al bano?,
CHARLIES%20UNDERWEAR.mp3,cat,"charlie, underwear",and youd like charlies underwear?,
CHASING%20TAIL.mp3,charlie,"chasing tail, charlie",been chasing tail,
CHECK%20PLEASE.mp3,cat,"check please, cat",check please!,
CHERRY%20BOMBS.mp3,akoostic sessions ,"cherry, bombs, moms, akoostic sessions","cherry bombs, smoke bombs with ya moms",
CHEST%20SLAP.mp3,patrick imig,"chest slap, imig",give a chest slap to willy,
CHICAGO.wav,joe strauss,"strauss, chicago",hey were better than chicago!,
CHICKY-CHICKY%20PARM%20PARM.mp3,doug,"chickey parm, chicken, parmesan",chicky chicky parm parm,
CHIEF%20JUSTICE.wav,tim,chief justice,cmon chief justice!,
CHILL%20OUT.mp3,unknown man,chill out,yea Im here man chill out,
CHIN%20STRAP%20BUCKLED-HOUSTON%20NUTT.mp3,houston nutt,"chin straps, houston nutt","if you dont have two chin straps buckled, you gonna get beat!",
CHOCOLATE%20BUNNIES.mp3,frank,"chocolate bunnies, frank",frank do you like chocolate bunnies?,
CHOCOLATE%20LONG%20JOHNS.wav,unknown woman,"woman, chocolate long johns, donuts",chocolate long johns are my favorite,
"CHOCOLATE,%20THICK.wav",willy,"chocolate, thick","chocolate, thick",
CHOKE%20LIKE%20A%20WHORE.mp3,unknown man,"choke, whore, gag",I choke like a whore without a gag reflex,
CITY%20LOVES%20WILLIE.wav,willy,willy,the city loves willy,
CLASSIC%20GO%20TO%20BAT.mp3,unknown man,"classic go to bat, fsn","classic, go to bat!",
CLEAN%20THOSE%20FIXINS.wav,kenny powers,"fixins, kenny powers, eastbound and down",you clean up those fixins right now!,
CLINE%20ZOMBIE.wav,david cline,"david cline hedonism, zombies",david cline singing zombies,
CLIP%20THAT%20OFF.mp3,plowboy,"clip that off, plowboy, sfw",clip that off,
CLOSE%20ENOUGH%20JACKASS.mp3,charlie,"close enough jackass, charlie","thats close enough, jackass",
COACHING%20IN%20ST%20LOUIS.mp3,prodjoe,"producer joe, prodjoe, coaching, rams, sfw",boy theres a high bar set here for coaching in st. louis apparantly,
COME%20DOWN%20UPON.mp3,prodjoe,"cum, come down upon, prodjoe, producer joe",doug deserves to be come down upon as well,
COME%20HERE%20BIG%20FELLA-FRANK.mp3,frank,"big fella, frank",come her big fella,
COME%20ON%20IN%20WATER%20IS%20WARM.mp3,tim,"water, warm, come in",come on in the water is warm,
COME%20ON%20OUT.wav,tim,"come on out, inside","it didnt remain inside of me, oh, come on out",
COME%20ONTO%20YOURSELF.mp3,cat,"come onto, cat, hit on","well you stand in line, and you come onto yourself",
COMING%20ON%20MY%20CHEST.mp3,tim,"come, chest, cometh, x-man",the x-man cometh all over my chest,
COMING%20OUT.wav,tim,coming out,oh wow looks like someone is coming out,
COMING%20TO%20THE%20BALLYARD.mp3,tim,ball yard,are any one of you guys coming to the ballyard tomorrow,
COMMERCIALS.wav,unknown man,commercials,nice listening to all of those commercials you were rolling out there before you had me on,
COMPLIMENT%20FOR%20DOUG-GOOLD.mp3,goold,"compliment, doug, goold",I had a compliment ready for doug,
CONDESCENDING%20RESPONSE.wav,tim,"response, condescending",I appreciate the condescending response,
CONGA%20LINE.mp3,cat,"conga, singing",*cat making singing noises*,
CONGRATULATIONS.wav,erin andrews,"erin andrews, congratulations ",congratulations!,
COON%20SKIN%20PANTIES.wav,doug,coonskin boy panties,where they able to fit you in some coon skin boy panties?,
COUNTRY%20JUSTICE.wav,doug,"justice, country",thats country justice there!,
CRABASS%20DOUG.mp3,unknown man,"crabby, grumpy",so doug why you being such a crabass today to all the callers?,
CRAPPY%20GAME.mp3,tim,crappy game,that was a crappy game,
CREEPAHOLIC.wav,plowboy,"creepy, creepaholic",creepaholic,
CUBS%20CUBS%20CUBS.wav,unknown man,cubs,cubs cubs cubs,
CUCKED%20BY%20THE%20BULL.mp3,tim,"bull, cuck","well didnt jimmy the bull try to cuck you, bro?",
CUCKHOLD-PLOWSY.mp3,plowboy,"cuckold, plowboy",thats not considered cuckold in my eyes,
CUCKOLD%20BEAT.mp3,tim,cuckold beat,from the cuckold beat,
CUCKOLD%20JAY%20JR.mp3,jay jr,"jennings, cuckold",that would have been an early cuck situation,
CUCKOLD%20ON.mp3,alpena,"cuckold, alpena","if you can get your cuckold on, do it!",
CUCKOLD%20SCENE.mp3,tim,cuckold,theres a cuckold scene?,
CUCKOLD%20SITUATION.mp3,plowboy,"plowboy, cuckold",yes I have a cuckold situation,
CUDDLE%20UP.wav,jay jr,"cuddle, jay",cuddle up!,
CUDDLE-FREAKOUT.mp3,unknown man,"cuddle, twink","if you told me I couldnt cuddle with someone, Id freak out",
CUETO%20GREAT-O.mp3,charlie,"cueto, charlie, 2Fox","cueto cueto, really greato",
CURIOUS%20HAND.mp3,tim,"curious, loin, hand",but then all the sudden you find yourself with a curious hand in your loin,
CURIOUS%20YOUNG%20LADY.wav,unknown woman,"curious, lesbian",I was a curious young lady!,
CUTIE%20PANTS.mp3,cat,"cutie pants, cat","bring it over here, cutie pants",
Cal%20May%20=%20Heyward.wav,cal may,"cal may, calvin, heyward",what did your grandma think?,
Cal%20May%20with%20Another%20Terrible%20Question%20to%20Brandon%20Moss.mp3,cal may,"cal may, brandon moss",were you surprised on how far the homerun went?,
Charlie%20Wants%20To%20Marry%20Doug.mp3,charlie,"married, wife","doug was never going to leave his wife for me, so I figured I might as well marry a woman",
DA%20RAIDERS.mp3,charlie,"raiders, berman",da raiders!,
DAMN%20COLD.wav,doug,cold,so damn cold!,
DAMN%20GINA.wav,tim,gina damn,damn gina!,
DAMN%20JANIE.mp3,tim,janie damn,damn janie!,
DAMNIT%20WEEZER.wav,tim,damn weezer,damnit weezer!,
DAN%20MARSHALL-WOMEN%20STATION.mp3,dan marshall,"dan marshall, the woman 1380",the woman station was just something that hit me like a bolt of lightening ,
DANCE%20LTD.mp3,doug,dance,"did you dance like the dickens, did you?",
DEALS%20A%20DEAL.mp3,plowboy,deals,deals a deal,
DECATUR.wav,unknown man,decatur,"decatur, I hardly know her",
DARN%20SERIOUS%20JOURNALISM.wav,dougq,"journalism, 4fox, kmov",I thought it was darn serious journalism,
DARN%20TOOTIN.wav,cat,darn tootin,youre darn tootin,
DAY%20BY%20DAY.wav,plowboy,day by day plowboy,I just uh live day by day buddy,
DAY'S%20WORK%20DOUGIE.wav,unknown man,days work,"all in a days work, dougie",
DECENT%20QUESTIONS.wav,unknown man,decent questions,do you guys have any decent questions?,
DEEP%20AND%20SOFT%20KISSING.mp3,tim,"kissing, lesbian, soft",are you engaging in a lot of deep and soft kissing right now?,
DEEP%20KISSING.mp3,jay jy,"kissing, #fff",do you like deep kissing or soft kissing?,
DEEP%20TEASE.mp3,tim,"testical, deep tease","and coming up, one of our board operators is going to sell one of his testicals for $40,000!",
DEEP%20THOUGHTS%20MY%20JAM.mp3,unknown woman,"bachelorette bachelor, deep thoughts",deep intelectual things are just my jam,
DEKE%20DOTEM-DANNY%20MAC.mp3,dan mac,"deke dotem, danny mac, fsnmw, freedotem",so best wishes to Mr. Dotem,
DEKE%20DOTEM-LARRY.mp3,larry,deke dotem larry,deke dotem!,
DEKE%20DOTEM.mp3,mike lee,deke dotem mike lee,deke dotem,
DEKEY%20DOTEM-TIMBERFAKE.mp3,timberfake,"deke dotem, dekey, timberfake, freedotem","so whos dekey dotem , I dont get that",
DICKENS.wav,unknown man,dickens,like the dickens,
DIFFERENCE%20A%20WEEK.wav,jeff fischer,"jeff fischer, rams",completely different what a week makes,
DIME%20BAGS.wav,plowboy,"dime bags, plowboy, weed",no dime bags being thrown out,
DIN-DIN.wav,willy,"dinner, din din, willy",din din,
DING%20DING%20DING-RICH.mp3,Rich from Maryland Heights,"rich, ding",ding ding ding ding ding,
DIRTY%20LEMMING.mp3,cat,"lemming, cat",you dirty lemming,
DIRTY%20UP.wav,tim,dirty,what you do is you dirty up the place,
